Metal,Supply Percentage of Domestic Demand in 2030,"Net decrease in U.S. GDP ($M, from USGS 2025-1047)",Current Production (tons),Demand 2030 (tons),Supply 2030 (tons),Bottleneck Explainer,Key Discovery Technologies,Key Extraction Technologies,Key Separation Technologies,Key Purification & Refinement Technologies,Key Remediation Technologies,Bottleneck,MCS 2025 Links
Rhodium,17%,"64,340",1.0,12.0,2.0,"Rhodium is extremely rare and only produced as a byproduct of platinum/palladium mining. The U.S. yields under 1 t (from Montana); virtually all rhodium is imported from South Africa. Its supply is constrained by the output of primary PGM mines overseas, making availability tenuous. ",Airborne geophysics; geochemical sampling; core drilling; seismic imaging,Froth flotation; pyrometallurgical smelting; pressure oxidation; bioleaching trials,Solvent extraction; ion exchange resins; selective precipitation; molecular recognition,Calcination; zone refining; plasma melting; chemical vapor transport,Paste backfill; lime neutralization; constructed wetlands; sulfate-reducing bioreactors,Geological scarcity; no major domestic PGM deposits; complex separation chemistry,
Niobium,25%,"10,441","7,000.0","40,000.0","10,000.0",The U.S. is fully import dependent on niobium (mostly from Brazil). There are no U.S. niobium mines; a planned Nebraska project is not yet producing. Relying on a single Brazilian supplier (CBMM) for ferroniobium is a major bottleneck and risk. ,Carbonatite targeting; aeromagnetic surveys; geochemical sampling; hyperspectral imaging,Open-pit/underground mining; crushing-grinding circuits; gravity separation; froth flotation,Alkaline roasting; acid leaching; solvent extraction; oxide precipitation,Ferroniobium smelting; aluminothermic reduction; electron-beam melting; recycling,Ballasted flocculation; tailings management; water recycling; dust control,Lack of primary mining and ferroniobium processing capacity,https://pubs.usgs.gov/periodicals/mcs2025/mcs2025-niobium.pdf
Samarium,125%,"4,498","1,200.0","1,200.0","1,500.0","Samarium is present in U.S. rare earth ore, but there is no domestic separation for mid-range rare earths like Sm. All samarium must be recovered overseas (primarily China). Thus the bottleneck is the lack of U.S. capability to extract Sm from mined rare earth concentrates.  ",Radiometric surveys; hyperspectral imaging; geochemical sampling; geophysical integration; machine learning,Open-pit mining; physical beneficiation; flotation; hydrometallurgy; biohydrometallurgy; tailings reprocessing,Solvent extraction; ion exchange; membrane separation; crystallization; molten salt electrolysis,Metallothermic reduction; electrorefining; zone refining; chemical purification; vacuum sublimation,Tailings stabilization; acid drainage treatment; phytoremediation; in-situ stabilization; recycling,Solvent extraction separation capacity; metal/alloy production; magnet manufacturing,
Potash,100%,"2,541","480,000.0","4,000,000.0","4,000,000.0",U.S. remains >90% import reliant (mainly Canada); limited domestic expansion by 2030. https://pubs.usgs.gov/periodicals/mcs2024/mcs2024-potash.pdf,3D/4D seismic imaging; gamma-ray logging; gravity surveys; electromagnetic methods,conventional underground mining; solution mining; solar evaporation; selective mining,froth flotation; crystallization; heavy media separation; magnetic separation,compaction/granulation; Mannheim process; crystallization; drying/screening,tailings management; brine treatment; mine closure; water recycling,screening/classification equipment; brine management systems; environmental compliance infrastructure,https://pubs.usgs.gov/periodicals/mcs2025/mcs2025-potash.pdf
Lutetium,10%,"2,059",1.0,20.0,2.0,"Lutetium, one of the scarcest rare earths, has no U.S. source. It is only produced in tiny quantities from Chinese ion-adsorption clays. The absolute reliance on Chinese HREE production is the bottleneck for Lu supply.  ",Radiometric surveys; hyperspectral imaging; geochemical sampling; gravity/magnetic surveys,Gravity/magnetic separation; flotation; acid leaching; ore sorting; ion adsorption,Solvent extraction cascades; ion exchange; fractional precipitation; membrane separation,Metallothermic reduction; zone refining; crystal growth; vacuum distillation,Tailings neutralization; radioactive waste management; water treatment; site rehabilitation,Solvent extraction separation capacity; heavy REE refining infrastructure,
Terbium,11%,"1,809",5.0,175.0,20.0,Terbium (for high-performance magnets/phosphors) is not produced outside China. The U.S. has no Tb output and depends entirely on Chinese ion-adsorption clay production. This single-country source for Tb is the bottleneck for any U.S. demand.  ,Radiometric surveys; hyperspectral imaging; ionic clay detection; geochemical sampling,Beneficiation; acid leaching; ion-exchange for clays; gravity/magnetic separation,Solvent extraction; ion-exchange chromatography; fractional crystallization; membrane separation,Oxide precipitation; molten salt electrolysis; metallothermic reduction; zone refining,Neutralization; precipitation; wetlands; tailings reprocessing; water treatment,Heavy-REE separation capacity; metallurgical refinement; low ore grades,
Dysprosium,27%,"1,624",0.0,750.0,200.0,"No dysprosium is mined in the U.S. Heavy rare earth element (HREE) supply is dominated by Chinese ionic clay deposits. The U.S. is fully import reliant for Dy, so any disruption in China’s output directly creates shortages.  ",Airborne geophysics; geochemical sampling; hyperspectral imaging; systematic drilling,Open-pit mining; flotation concentration; gravity/magnetic separation; acid leaching; dry-stack tailings,Solvent extraction; ion exchange; chromatography; crystallization; emerging ionic liquids,Molten salt electrolysis; metallothermic reduction; vacuum distillation; zone refining; magnet alloying,Dry-stack tailings; water recycling; neutralization; reagent recovery; engineered barriers,Heavy-REE separation and refining infrastructure,
Aluminum,27%,"1,537","10,500,000.0","47,500,000.0","13,000,000.0","Domestic aluminum production is far below demand, requiring imports of both alumina and primary metal. The U.S. has limited bauxite ore and refining, relying on foreign alumina (notably from China/Russia). High energy costs and constrained refining capacity create supply bottlenecks.  ",Hyperspectral imaging; geochemical mapping; airborne geophysics; machine learning prospectivity,Strip mining; Bayer process; pressure digestion; red mud management,Gravity settling; pressure filtration; hydrocyclone classification; eddy current sorting,Hall-Héroult electrolysis; continuous casting; melt treatment; alloy adjustment,Alkalinity neutralization; beneficial reuse; spent potliner treatment; emission controls,Carbon anode dependency; alumina import reliance; energy infrastructure constraints,https://pubs.usgs.gov/periodicals/mcs2025/mcs2025-aluminum.pdf
Gallium,35%,"1,418",0.0,300.0,105.0,"The U.S. has no primary gallium production and is completely import dependent. Gallium is only recovered as a byproduct of aluminum/zinc refining, mostly in China. China’s export restrictions on Ga highlight this bottleneck in the U.S. semiconductor supply chain.",XRF/ICP-MS bauxite assays; red mud characterization; zinc ore trace analysis; coal ash screening,Bayer liquor ion-exchange; chelating resin columns; acid leaching of residues; mercury-free electrowinning,Multi-stage solvent extraction; selective precipitation; chelating resins; membrane separation,Zone refining to 7N-8N; vacuum distillation; crystallization; electrolytic polishing,Red mud valorization; acid neutralization; metal recovery circuits; e-waste processing,Ion-exchange/solvent extraction retrofits at alumina refineries; lack of operational Ga recovery infrastructure,https://pubs.usgs.gov/periodicals/mcs2025/mcs2025-gallium.pdf
Ruthenium,25%,"1,249",0.0,4.0,1.0,"Ruthenium is another minor PGM produced only as a byproduct in South African/Russian mines. U.S. output is negligible (~0.2 t), so >95% is imported. The supply bottleneck is dependence on foreign PGM operations for any ruthenium, leaving the U.S. exposed to external supply disruptions.  ",airborne geophysics; geochemical sampling; core drilling; structural mapping,underground mining; open-pit mining; ore comminution; materials handling,froth flotation; gravity concentration; magnetic separation; pressure oxidation,smelting; converting; hydrometallurgical refining; chemical precipitation,water treatment; waste recycling; tailings management; site rehabilitation,PGM refining capacity; hydrometallurgical separation; exploration funding,
Iridium,17%,"1,163",0.1,3.0,0.5,"Iridium is extremely scarce and only produced as a minor byproduct of platinum mining. The U.S. (Stillwater) yields only ~0.1 t, so >95% must be imported. Global Ir supply is dominated by South Africa and Russia, so U.S. availability is constrained by those sources.  ",Airborne geophysics for mafic intrusions; IP/EM for sulfides; hyperspectral for alteration; stream sediment PGE assays,Flotation concentration; flash smelting to matte; pressure oxidation; chlorination leaching; electrorefining,Selective precipitation as (NH₄)₂IrCl₆; solvent extraction with amines; ion-exchange on strong-base resins; distillation of OsO₄,Arc melting at 2450°C; electron-beam melting; zone refining; powder metallurgy; spark-plasma sintering,Lime neutralization of acids; SO₂ scrubbing to H₂SO₄; closed-loop PGM recovery; membrane filtration; zero liquid discharge,Catalyst thrifting to <80 kg/GW; 95%+ recycling efficiency; membrane electrode assembly recovery,
Platinum,60%,"1,144",4.0,5.0,3.0,"Like palladium, U.S. platinum is only mined at the Stillwater complex (~4 t), far below domestic use. The U.S. depends on South African and Russian supply for most platinum. This heavy import reliance, combined with the single domestic PGM mine, is the key bottleneck in platinum supply.  ",same as PGE reefs,UG conventional stoping,flotation; gravity PGE,pressure leach; solvent extraction,tailings thickening; cyanide detox,Foreign PGM concentration,
Palladium,50%,"1,053",14.0,20.0,10.0,"U.S. palladium output (~14 t) comes only from one Montana mine, covering ~70% of domestic needs. The rest is imported, mainly from South Africa and Russia. With Stillwater as the only U.S. source, any disruption shifts reliance entirely to foreign palladium, a significant supply risk.  ",Geochemical sampling of ultramafic intrusions; airborne EM/magnetics; drill core XRF analysis,Open-pit/underground mining; SAG/ball mill grinding; froth flotation; matte smelting,Acid leaching; solvent extraction with organophosphorus reagents; ion exchange; chemical precipitation,Aqua regia dissolution; electrorefining; zone refining; hydrogen reduction,Carbon mineralization of ultramafic tailings; sulfate-reducing bioreactors; alkaline neutralization; phytoremediation,Lack of domestic PGM refining infrastructure; dependence on foreign processing,
Titanium,40%,"1,009","300,000.0","50,000.0","20,000.0","While the U.S. mines ilmenite mineral, it lacks sufficient domestic titanium sponge production. Over 95% of titanium metal used is imported. High capital cost and environmental issues have hindered new sponge plants, leaving U.S. aerospace and defense supply chains dependent on foreign titanium.  ",radiometric surveys; aeromagnetic/gravity; geological mapping; drone hyperspectral; diamond drilling,open-pit/dredge mining; wet concentration spirals; dewatering; SAG grinding; magnetic separation,dense media separation; gravity spirals; magnetic separation; froth flotation; hydraulic washing,sulfate/chloride TiO₂ processes; Kroll process; emerging FFC/hydrogenation; VAR melting; electrorefining,acid waste neutralization; sulfate mineral reuse; tailings rehabilitation; dust/fume treatment; slag recycling,Kroll process for titanium sponge production; vacuum distillation; VAR melting,https://pubs.usgs.gov/periodicals/mcs2025/mcs2025-titanium.pdf
Barite,22%,"1,001","400,000.0","4,500,000.0","1,000,000.0","U.S. barite production is modest (only ~25% of demand), forcing reliance on high-density imported barite. Limited domestic high-SG deposits and cheaper Chinese/Mexican sources create a supply bottleneck.  ",geochemical sampling; gravity surveys; electrical resistivity; core drilling; hyperspectral imaging,open-pit mining; underground stoping; controlled blasting; dense-media handling,jaw/cone crushing; ball milling; jigs and spirals; dense-media cyclones; flotation,acid leaching; magnetic separation; ultrafine grinding; chemical bleaching,filtered tailings; paste backfill; water treatment; progressive rehabilitation,Quality ore import reliance,https://pubs.usgs.gov/periodicals/mcs2025/mcs2025-barite.pdf
Silicon,37%,"1,000","400,000.0","1,350,000.0","500,000.0",High electricity costs limit Si metal output vs. demand growth. https://pubs.usgs.gov/periodicals/mcs2024/mcs2024-silicon.pdf,Geological mapping; hyperspectral imaging; geochemical assays; airborne geophysics; core drilling,Open-pit quarrying; hydraulic mining; multi-stage crushing; washing/screening; selective mining,Gravity tapping; slag separation; dust collection; magnetic separation; density separation,Siemens process; fluidized bed reactor; directional solidification; metallurgical refining; upgraded metallurgical-grade process,Baghouse filtration; wet scrubbing; water treatment; tailings management; dust suppression; carbon capture,High-temperature arc furnaces; polysilicon refining capacity; high-purity quartz sourcing,https://pubs.usgs.gov/periodicals/mcs2025/mcs2025-silicon.pdf
Manganese,0%,973,"3,250,000.0","1,350,000.0",3.0,"The U.S. is 100% import reliant on manganese. All Mn ore and ferroalloy are imported (mainly from South Africa, Gabon, Australia). With no domestic deposits in production, any supply disruption abroad (or in proposed seabed nodule projects) leaves the U.S. without manganese.  ",hyperspectral imaging; airborne geophysics; AI-driven targeting; geochemical vectoring,open-pit mining; in-pit crushing; ore sorting; selective mining,gravity concentration; magnetic separation; dense media separation; flotation,reductive roasting; acid leaching; solvent extraction; electrowinning; crystallization,passive treatment wetlands; manganese-oxidizing bioreactors; chemical precipitation; membrane filtration,hydrometallurgical processing; battery-grade purification; domestic refining capacity,https://pubs.usgs.gov/periodicals/mcs2025/mcs2025-manganese.pdf
Copper,64%,878,"3,200,000.0","5,500,000.0","3,500,000.0",Decade‑scale permitting/litigation delays limit new U.S. mines despite demand growth. https://www.futurity.org/copper-renewable-energy-electricity-3220892-2/,Hyperspectral imaging; airborne geophysics; AI-driven data integration; 3D modeling,Open-pit and block cave mining; SAG/ball milling; froth flotation; heap leaching,Froth flotation; solvent extraction; dense media separation; ore sorting,Flash smelting; electrorefining; SX-EW; pressure oxidation,Dry-stack tailings; water treatment; SO₂ capture; progressive rehabilitation,"Permitting timelines and capital constraints, not technology gaps",https://pubs.usgs.gov/periodicals/mcs2025/mcs2025-copper.pdf
Germanium,25%,805,2.5,80.0,20.0,"Germanium is mostly obtained as a zinc smelting byproduct. The U.S. produces little Ge (about 50% import reliant), since domestic zinc smelting is minimal. Dependence on imports (from Canada, Belgium, China) and the byproduct nature of Ge constrain its availability.  ",geochemical sampling of MVT/SEDEX deposits; XRF core scanning; EM geophysics; historical data mining,roasting at 950-1000°C; two-stage acid leaching; ion exchange recovery; HF leaching for residues,solvent extraction with chelating agents; anion exchange resins; chlorination-volatilization; controlled precipitation,hydrogen reduction at 650-750°C; zone refining to 6N purity; Czochralski crystal growth; vacuum distillation,e-waste chemical recycling; phytoremediation with maize; tailings re-leaching; ion exchange wastewater treatment,incomplete extraction from zinc residues; limited refining capacity; lack of chlorination-distillation infrastructure,https://pubs.usgs.gov/periodicals/mcs2025/mcs2025-germanium.pdf
Gadolinium,60%,758,50.0,500.0,300.0,"Gadolinium, a heavy rare earth, is not produced in the U.S. It is obtained from Chinese rare earth operations. The supply bottleneck is the lack of any domestic HREE production or processing, forcing 100% reliance on Chinese exports.  ",Radiometric surveys; geochemical sampling; airborne geophysics; marine exploration,Open-pit/underground mining; crushing/grinding; gravity separation; froth flotation,Solvent extraction cascades; ion exchange; fractional precipitation; membrane separation,Metallothermic reduction; molten salt electrolysis; vacuum refining; ultra-purification,Tailings reprocessing; acid neutralization; water treatment; radioactive waste management,Hydrometallurgical separation (SX/ion-exchange); specialized reagents; technical expertise,
Tungsten,50%,539,"3,000.0","20,000.0","10,000.0","The U.S. has no active tungsten mines (last closed in the 1990s), so it relies on imports for ~50% of needs (the rest comes from recycling or stockpiles). China is the world’s top tungsten producer. The absence of domestic mine supply makes tungsten a critical bottleneck for U.S. industry.  ",UV-fluorescence mapping; aerial radiometric surveys; geochemical sampling; hyperspectral imaging,open-pit/underground mining; drill-and-blast; crushing to <5mm; SAG/ball milling,dense-media separation; gravity tables/jigs; magnetic separation; froth flotation,alkaline digestion to APT; hydrogen reduction to metal; carbothermic reduction to ferrotungsten,tailings reprocessing; hydrometallurgical extraction; water treatment; phytostabilization,APT/powder plants; hydrogen reduction furnaces; ferrotungsten smelters,https://pubs.usgs.gov/periodicals/mcs2025/mcs2025-tungsten.pdf
Magnesium,67%,481,"63,500.0","300,000.0","200,000.0","Only one U.S. producer (Utah) supplies magnesium metal, covering ~50% of domestic needs; the rest is imported. U.S. smelters struggle with high energy costs and environmental regulations. Over 50% of global Mg comes from China, making cost-competitive domestic expansion difficult (a supply bottleneck).  ",Geochemical mapping; hyperspectral imaging; gravity surveys; brine analysis; waste assessment,Pidgeon thermal reduction; electrolysis; aluminothermic; novel molten salt methods,Vapor condensation; vacuum separation; slag removal; crystallization; centrifugation,Vacuum distillation; flux refining; zone refining; sublimation; electrolytic polishing,pH neutralization; slag recycling; gas scrubbing; dust control; brine management,Low-carbon primary reduction; renewable electrolysis; energy-intensive processing,
Hafnium,94%,480,35.0,85.0,80.0,"Hafnium is only produced as a byproduct of zirconium refining, which itself is limited. U.S. hafnium output depends on domestic zircon processing (small) and imports. Any decline in zirconium production directly tightens Hf supply. Lack of primary Hf sources is the bottleneck.  ",radiometric surveys; geochemical sampling; heavy-mineral mapping; exploration drilling,open-pit/dredge mining; spiral concentrators; magnetic separation; wet concentration,solvent extraction; chloride distillation; molten salt electrolysis,Kroll reduction; vacuum arc melting; electron beam melting; zone refining,monazite/thorium management; tailings dry stacking; dust suppression; water treatment,Zr-Hf chemical separation; limited feedstock access; regulatory barriers,
Thulium,20%,452,5.0,150.0,30.0,"Thulium is one of the rarest rare earths, produced only in minute quantities in China. With no U.S. production, all Tm must be imported (if available at all). The incredibly low supply (and sole Chinese source) make Tm supply essentially bottlenecked by its rarity and China's output.  ",Airborne radiometrics; XRF geochemistry; carbonatite mapping; ion-adsorption clay detection,Gravity/magnetic separation; sulfuric acid leaching; solvent extraction; ion exchange,Multi-stage solvent extraction; supported liquid membranes; chromatography; fractional crystallization,Metallothermic reduction; vacuum distillation; zone refining; electrolytic refining,Tailings reprocessing; acid neutralization; radioactive element removal; water treatment,Multi-stage solvent extraction for heavy REE separation; hydrometallurgical processing infrastructure,
Silver,68%,435,"2,200.0","11,000.0","7,500.0",Domestic mines supply <20%; majority from imports despite recycling. https://pubs.usgs.gov/periodicals/mcs2024/mcs2024-silver.pdf,Geochemical sampling; airborne geophysics; hyperspectral imaging; machine learning targeting,Flotation concentration; cyanide leaching; pressure oxidation; bioleaching,Merrill-Crowe precipitation; electrowinning; ion exchange; solvent extraction,Electrolytic refining; Miller process; vacuum distillation; zone refining,Lime neutralization; sulfide precipitation; membrane filtration; phytoremediation,Low-grade byproduct recovery; lack of primary silver deposits,https://pubs.usgs.gov/periodicals/mcs2025/mcs2025-silver.pdf
Cobalt,38%,395,"8,100.0","80,000.0","30,000.0","U.S. cobalt output is minimal (mainly a byproduct of copper mining), covering only ~2% of demand. Over 95% is imported or refined overseas. The supply chain depends on the D.R. Congo for mining and China for refining, making U.S. supply vulnerable to foreign disruptions.  ",Geophysical surveys (magnetic/EM); geochemical sampling; radiometric surveys; machine learning integration; 3D drilling/imaging,Sulfide flotation; pressure acid leaching (HPAL); ammoniacal leaching; bio-oxidation (R&D); roasting/calcination,Solvent extraction (SX); ion exchange; precipitation/crystallization; electrowinning,Chemical purification to battery-grade; electrowinning to metal; battery-salt synthesis; electrochemical recycling,Neutralization/precipitation; phytoremediation; adsorption/filtration; tailings containment,Refining capacity; economic viability; permitting delays,https://pubs.usgs.gov/periodicals/mcs2025/mcs2025-cobalt.pdf
Neodymium,135%,383,"5,800.0","10,000.0","13,500.0","Neodymium (for magnets) is produced at Mountain Pass in a concentrate, but must be refined abroad (China). Lack of U.S. separation and magnet alloy manufacturing is the bottleneck. Thus, U.S. magnet supply chains depend on foreign Nd-Pr metal production.",Radiometric surveys; geochemical sampling; geophysical mapping; remote sensing; biogeochemical indicators,Open-pit mining; physical beneficiation; hydrometallurgical leaching; precipitation; ion-exchange for clays,Solvent extraction; ion-exchange chromatography; selective oxidation; fractional crystallization,Metallothermic reduction; molten salt electrolysis; vacuum refining; alloying; magnet fabrication,Neutralization/precipitation; constructed wetlands; tailings reprocessing; adsorption; radioactive waste management,Hydrometallurgical separation (solvent extraction) and rare-earth metallurgy capacity,
Zinc,55%,346,"2,300,000.0","4,150,000.0","2,300,000.0","The U.S. mines a lot of zinc (e.g., Red Dog in Alaska) but has almost no smelting—its last primary zinc smelter closed in 2013. Concentrates are exported and metal is imported. Thus, domestic zinc metal supply is bottlenecked by the lack of refining capacity, making the U.S. ~80% import reliant for refined zinc.  ",Geochemical mapping; IP surveys for sulfides; EM for massive sulfides; gravity/magnetics; diamond drilling,Open-pit for near-surface deposits; underground stoping methods; automated mining systems,Froth flotation for sulfides; gravity separation; oxide ore treatment; modern reagent systems,Roast-leach-electrowin (RLE); pressure leaching; solvent extraction; electrowinning to 99.995% purity,Lime neutralization; high-density sludge; passive wetlands; permeable barriers; metal recovery,Lack of domestic zinc smelting/refining capacity; limited exploration investment; declining ore grades,https://pubs.usgs.gov/periodicals/mcs2025/mcs2025-zinc.pdf
Yttrium,67%,295,500.0,"3,000.0","2,000.0","The U.S. has no yttrium production (100% import reliant, mainly from China). Yttrium is obtained from ion-adsorption clays and other rare earth deposits in China. Without domestic production, the bottleneck is absolute import dependence on Chinese sources.  ",Airborne geophysics; geochemical sampling; hyperspectral imaging; machine learning prospectivity mapping,Open-pit mining; crushing/grinding; gravity separation; magnetic separation; flotation,Solvent extraction cascades; ion exchange chromatography; selective precipitation; membrane separation,Zone refining; vacuum melting; chemical vapor transport; powder metallurgy,Radioactive waste management; water treatment; acid neutralization; progressive rehabilitation,Solvent extraction and hydrometallurgical separation capacity,https://pubs.usgs.gov/periodicals/mcs2025/mcs2025-yttrium.pdf
Vanadium,10%,217,500.0,"20,000.0","2,000.0","No primary vanadium mines operate in the U.S. Vanadium is recovered from byproducts like oil refining residues or imported slag. This limited secondary production (~3 kt projected) falls short of demand, keeping the U.S. import-reliant. Dependence on foreign sources (e.g., Russia, South Africa) for vanadium-bearing materials is the bottleneck.  ",Radiometric surveys; aeromagnetic surveys; geochemical sampling; geological mapping; drilling programs,Alkaline roast-leach; smelting/slag processing; acid leaching; direct reduction; byproduct recovery,Solvent extraction; ion exchange; pH precipitation; crystallization; membrane separation,Calcination to V₂O₅; vacuum refining; ferrovanadium production; chemical conversion; ultra-purification,Chemical precipitation; adsorption systems; phytoremediation; oxidation processes; waste recycling,Processing infrastructure; ore beneficiation; purification capacity; environmental compliance,https://pubs.usgs.gov/periodicals/mcs2025/mcs2025-vanadium.pdf
