Metal,Supply Percentage of Domestic Demand in 2030,"Net decrease in U.S. GDP ($M, from USGS 2025-1047)",Current Production (tons),Demand 2030 (tons),Supply 2030 (tons),Bottleneck Explainer,Key Discovery Technologies,Key Extraction Technologies,Key Separation Technologies,Key Purification & Refinement Technologies,Key Remediation Technologies,Bottleneck,MCS 2025 Links
Lanthanum,80%,186,"5,000.0","15,000.0","12,000.0","The U.S. mines lanthanum-rich rare earth ore (Mountain Pass) but has limited domestic refining. Separated La is mostly processed in China. Although La itself is abundant, the need to ship concentrate abroad for refining is a bottleneck in fully independent supply.  ",Radiometric surveys; hyperspectral imaging; geochemical sampling; magnetic/gravity surveys,Open-pit mining; crushing/grinding; froth flotation; gravity separation; magnetic separation,Solvent extraction; ion exchange; selective precipitation; fractional crystallization,Metallothermic reduction; molten salt electrolysis; vacuum distillation; zone refining,Radioactive waste management; water treatment/recycling; tailings stabilization; dust control,Solvent extraction separation; hydrometallurgical processing; waste management infrastructure,
Praseodymium,120%,165,"2,000.0","2,500.0","3,000.0","Praseodymium is mined with neodymium at Mountain Pass, but the mixed Nd-Pr product must be separated and converted to metal/magnets overseas. The absence of domestic praseodymium refining and magnet manufacturing is the bottleneck for this critical magnet metal.  ",Radiometric surveys; hyperspectral imaging; geochemical sampling; magnetic/gravity surveys,Flotation concentration; acid/alkaline leaching; roasting; heap/in-situ leaching,Multi-stage solvent extraction; ion exchange chromatography; selective precipitation,Oxide calcination; metallothermic reduction; powder metallurgy; zone refining,Magnet recycling; tailings neutralization; phytoremediation; closed-loop processing,Solvent extraction and ion exchange separation capacity,
Chromium,72%,136,"600,000.0","2,150,000.0","1,550,000.0","The U.S. has zero chromium ore mining, relying completely on imports for chromite/ferrochrome. This total import dependence (mainly on South Africa, Kazakhstan, etc.) is a major supply bottleneck, posing strategic vulnerability.  ",Ultramafic mapping; airborne gravity/magnetics; hyperspectral imaging; geochemical AI screening,Underground drift-and-fill; automated drilling; conveyor hoisting; HPGR crushing,Dense-medium separation; spirals; shaking tables; magnetic separation,Submerged-arc ferrochrome smelting; aluminothermic reduction; molten salt electrolysis,Tailings stabilization; Cr(VI) reduction; phytoremediation; water treatment,Ferrochrome smelting capacity; direct reduction of chromite; low-carbon processing,https://pubs.usgs.gov/periodicals/mcs2025/mcs2025-chromium.pdf
Graphite,39%,132,"50,000.0","700,000.0","275,000.0","The U.S. has 0 natural graphite mining and is 100% import reliant. With China controlling the majority of graphite production and purification, U.S. battery-grade graphite supply is a major bottleneck. Developing domestic mines or synthetic graphite capacity is needed.  ",airborne electromagnetics; magnetic surveys; resistivity/IP; geochemical sampling,open-pit mining; selective blasting; ore sorting; electric equipment,froth flotation; gravity separation; magnetic separation; screening/classification,thermal purification; chemical leaching; spheroidization; carbon coating,water treatment; tailings management; dust control; progressive rehabilitation,purification infrastructure; spherical graphite coating; high-temperature graphitization furnaces,https://pubs.usgs.gov/periodicals/mcs2025/mcs2025-graphite.pdf
Antimony,20%,129,0.0,"50,000.0","9,750.0","The U.S. has had zero primary antimony mine production for decades, making it ~85% import reliant. Supply depends on foreign sources (mainly China), and processing capacity is limited, causing a critical bottleneck.  ",Geochemical mapping; IP/resistivity surveys; hyperspectral imaging; stream sediment analysis,Underground mining; flotation concentration; gravity separation; roasting,Oxidative roasting; carbothermic reduction; electrolytic refining; vacuum distillation,Pressure leaching; zone refining; vacuum distillation; electrolytic purification,Lime neutralization; constructed wetlands; iron-based adsorbents; phytostabilization,Refining/smelting infrastructure; roasting furnaces; reduction technology; vacuum distillation,https://pubs.usgs.gov/periodicals/mcs2025/mcs2025-antimony.pdf
Erbium,50%,108,50.0,300.0,150.0,"Like other heavy rare earths, erbium has no U.S. source. All Er supply comes from Chinese mines, making the U.S. 100% import dependent. The bottleneck is the lack of any non-Chinese production or separation capacity for Er.  ",airborne radiometrics; ICP-MS geochemistry; hyperspectral imaging; AI-driven targeting,conventional open-pit; flotation beneficiation; acid/alkaline cracking; solvent extraction,multi-stage solvent extraction; ion exchange chromatography; selective precipitation,oxalate precipitation; high-temperature calcination; metallothermic reduction; zone refining,dry-stack tailings; acid neutralization; zero liquid discharge; radiometric monitoring,China HREE monopoly,
Indium,15%,92,100.0,"1,350.0",200.0,"The U.S. has no primary indium production (100% import reliant). Indium is recovered from zinc ores, but the U.S. lacks active zinc smelters to extract it. This means all indium for LCDs and semiconductors must be imported, a significant bottleneck.  ",Multi-element geochemistry; zinc-tin deposit targeting; IP/EM geophysics; LA-ICP-MS analysis,Roast-leach-electrowin from zinc; chloride volatilization; pressure oxidation; bioleaching,Solvent extraction with D2EHPA; ion exchange; selective precipitation; cementation,Vacuum distillation; electrolytic refining; zone melting; chemical vapor transport,Jarosite reprocessing; ITO glass recycling; e-waste recovery; effluent treatment,Byproduct recovery from zinc residues; ITO recycling infrastructure; specialized refining capacity,https://pubs.usgs.gov/periodicals/mcs2025/mcs2025-indium.pdf
Nickel,26%,84,"350,000.0","1,350,000.0","350,000.0","U.S. nickel production is a fraction of demand (~17 kt vs 100 kt). Over 80% is imported. Moreover, global nickel supply is increasingly concentrated in Indonesia (under Chinese influence). The U.S. lacks sulfide reserves and processing for battery-grade nickel, creating a critical supply bottleneck.  ",airborne electromagnetics; geochemical sampling; magnetic surveys; seismic imaging,sulfide flotation; RKEF smelting; HPAL; heap leaching,solvent extraction; ion exchange; selective precipitation; crystallization,electrowinning; carbonyl refining; hydrogen reduction; sulfate crystallization,acid neutralization; metal precipitation; tailings management; phytoremediation,HPAL processing; battery-grade refining; sulfide ore beneficiation,https://pubs.usgs.gov/periodicals/mcs2025/mcs2025-nickel.pdf
Fluorspar,10%,82,0.0,"500,000.0","50,000.0","The U.S. is 100% reliant on imported fluorspar. Despite significant demand for acid-grade fluorspar (e.g. for fluorochemicals), there are no active U.S. fluorspar mines. This complete import dependence (mainly from Mexico) is the critical bottleneck.  ",hyperspectral remote sensing; portable XRF geochemistry; induced polarization; machine learning targeting,open-pit for shallow deposits; underground room-and-pillar; selective mining; ore sorting,crushing to -50mm; grinding to 65-100 mesh; froth flotation; gravity pre-concentration,HF production via H₂SO₄ reaction; multi-stage distillation; synthetic cryolite production; ultra-purification,lime precipitation for fluoride removal; activated alumina adsorption; membrane filtration; tailings encapsulation,HF production plants; acid-grade beneficiation; environmental permitting,https://pubs.usgs.gov/periodicals/mcs2025/mcs2025-fluorspar.pdf
Rhenium,70%,61,20.0,50.0,35.0,Recovery tied to Mo/Cu smelters; limited domestic anode‑slimes capture. https://pubs.usgs.gov/periodicals/mcs2024/mcs2024-rhenium.pdf,porphyry copper-molybdenum exploration; molybdenite geochemistry; airborne geophysics; ICP-MS analysis,molybdenite roasting with stack gas capture; pressure oxidation leaching; flue dust recovery,ammonium perrhenate precipitation; ion exchange resins; solvent extraction with amines,hydrogen reduction at 1000°C; powder metallurgy; electron beam melting; zone refining,biosorption with microorganisms; chemical precipitation; electrochemical reduction; phytoremediation,Byproduct recovery,https://pubs.usgs.gov/periodicals/mcs2025/mcs2025-rhenium.pdf
Tantalum,71%,56,200.0,350.0,250.0,"The U.S. has no tantalum mining and is fully reliant on imports. Most Ta is sourced from Central Africa or Brazil. With no domestic production or processing, any supply chain issue abroad directly threatens U.S. access to tantalum (used in capacitors), a clear bottleneck.  ",LCT pegmatite mapping; geochemical vectoring; indicator minerals; airborne radiometrics,Crushing/grinding; gravity concentration; magnetic separation; ore sorting,HF acid digestion; solvent extraction; ion exchange; precipitation methods,Sodium reduction; electron-beam melting; powder metallurgy; CVD/ALD deposition,Acid neutralization; fluoride precipitation; tailings management; dust control,Hydrometallurgical refining capacity; HF-based solvent extraction; by-product recovery optimization,https://pubs.usgs.gov/periodicals/mcs2025/mcs2025-tantalum.pdf
Holmium,33%,38,0.0,7.5,2.5,"Holmium (a heavy REE) has no U.S. source. It is only produced in China as a minor byproduct of rare earth separation. Thus the U.S. supply of Ho is entirely import-dependent, with availability constrained by Chinese production.  ",Radiometric surveys; XRF geochemistry; hyperspectral imaging; AI-guided exploration,Beneficiation; acid leaching; caustic cracking; ion-exchange leaching,Solvent extraction; ion exchange chromatography; fractional crystallization,Calcination; metallothermic reduction; zone refining; vacuum distillation,Radioactive waste management; water treatment; tailings stabilization,Heavy REE separation infrastructure; solvent extraction cascades,
Lead,81%,35,"1,000,000.0","1,350,000.0","1,100,000.0",U.S. lacks primary Pb smelters; relies on exports of concentrate and domestic recycling. https://pubs.usgs.gov/periodicals/mcs2024/mcs2024-lead.pdf,Geological mapping of carbonate terranes; geochemical soil surveys; airborne EM/gravity; ground IP/resistivity,Underground drift-and-fill; open-pit bulk mining; gravity pre-concentration; flotation tailings recycling,Ball mill grinding; xanthate froth flotation; gravity tables; sequential Pb-Zn separation,Blast/KIVCET smelting; SO₂ capture; Betts electrolytic refining; battery scrap recycling,Phosphate stabilization; phytoremediation with mustard/sunflower; microbial precipitation; soil capping,Limited ore resources; aging smelter infrastructure; lack of new extraction technology,https://pubs.usgs.gov/periodicals/mcs2025/mcs2025-lead.pdf
Lithium,31%,34,"95,000.0","800,000.0","250,000.0","Despite large lithium demand growth, U.S. production is limited to one brine operation (~5 kt). New projects (brines, clays) face lengthy development and permitting. The U.S. will remain heavily import-reliant for lithium chemicals through 2030, making project development pace the key bottleneck.  ",MT/gravity geophysics for brines; magnetic/radiometric for pegmatites; geochemical sampling; remote sensing,Open-pit mining for hard rock; brine pumping/evaporation; DLE adsorption/ion-exchange; clay heap leaching,Ion-exchange resins; solvent extraction; membrane separation; selective precipitation,Spodumene roasting/conversion; carbonate precipitation; hydroxide crystallization; ion-exchange polishing,Membrane water recovery; chemical neutralization; tailings management; brine reinjection,Industrial-scale lithium chemical refining capacity; proven DLE at commercial scale,https://pubs.usgs.gov/periodicals/mcs2025/mcs2025-lithium.pdf
Bismuth,56%,32,580.0,"1,800.0","1,000.0","No primary bismuth is mined in the U.S.; supply is a byproduct of lead/zinc smelting abroad. With domestic lead smelting declining, the U.S. relies on imports (about 89% import reliant), mainly from China, so availability hinges on foreign lead production.  ",Polymetallic skarn targeting; multi-element geochemistry; hyperspectral remote sensing; machine learning integration,Selective flotation; pressure oxidation; bioleaching; gravity pre-concentration,Solvent extraction with D2EHPA/TBP; ion exchange resins; selective precipitation; membrane separation,Vacuum distillation; zone refining; electrorefining; chemical purification,Precipitation/stabilization; adsorption on modified materials; electrochemical recovery; constructed wetlands,Lack of dedicated bismuth recovery circuits in base-metal smelters; absence of hydrometallurgical separation infrastructure,https://pubs.usgs.gov/periodicals/mcs2025/mcs2025-bismuth.pdf
Tin,38%,32,"9,500.0","120,000.0","45,000.0","The U.S. has had no tin mines for decades, making it 100% import dependent for tin. Global tin production is concentrated in countries like Indonesia, Myanmar, and Peru. U.S. supply is vulnerable to disruptions in those regions, with no domestic fallback, hence a critical bottleneck.  ",Geochemical pathfinders; IP/resistivity surveys; hyperspectral imaging; 3D modeling,Underground mining; alluvial dredging; tailings reprocessing; in-situ recovery trials,Gravity spirals/jigs; flotation with specialized collectors; magnetic separation; ore sorting,Reverberatory smelting; vacuum distillation; electrorefining; fuming furnaces,Cement stabilization; arsenic precipitation; phytoremediation; passive treatment systems,Resource availability; lack of domestic ore deposits; limited recycling infrastructure,https://pubs.usgs.gov/periodicals/mcs2025/mcs2025-tin.pdf
Cerium,138%,23,"26,000.0","32,500.0","45,000.0","Cerium is produced at Mountain Pass, but the U.S. lacks domestic separation facilities for rare earths. Concentrates are sent overseas (primarily China) for processing. Thus, refining capacity—not mining—is the bottleneck for cerium supply.  ",Radiometric surveys; geochemical mapping; airborne geophysics; stream sediment sampling,Froth flotation; caustic roast-acid leach; direct acid leaching; solvent extraction,Oxidative precipitation; multi-stage solvent extraction; ion exchange chromatography,Re-precipitation cycles; chlorination-electrolysis; metallothermic reduction,Chemical precipitation; adsorption systems; membrane filtration; bioremediation,High-volume cerium separation and stockpiling infrastructure,
Beryllium,110%,19,225.0,250.0,275.0,"U.S. leads in beryllium but production comes almost entirely from one company (Materion) at a single Utah mine—a single-point failure risk. This domestic monopoly limits supply resilience, as any disruption at this sole source could halt U.S. supply.  ",Geological mapping of rhyolite tuffs; geochemical pathfinder surveys; hyperspectral remote sensing; core drilling,Open-pit mining; crushing to -35 mesh; gravity preconcentration; multi-stage froth flotation; hand sorting of coarse beryl,Soda sintering at 770°C; sulfuric acid leaching; solvent extraction with naphthenates; hydroxide precipitation,Calcination to BeO; fluoride conversion; magnesiothermic reduction; vacuum arc remelting; precision alloying,pH-controlled precipitation; activated carbon adsorption; biosorption; waste stabilization; HEPA dust control,High-temperature chemical processing; toxic containment systems; specialized metallurgical reduction,https://pubs.usgs.gov/periodicals/mcs2025/mcs2025-beryllium.pdf
Zirconium,314%,11,"500,000.0","175,000.0","550,000.0","The U.S. produces some zircon (heavy mineral sands), but has limited capacity to refine it into zirconium chemicals or metal. Much of zirconium metal for nuclear and industrial use is imported. Reliance on foreign processing of zircon ore (and import of finished zirconium products) is the bottleneck in the supply chain.  ",airborne radiometrics; heavy-mineral sampling; seismic surveys; satellite spectral analysis,dredge mining; dry mining with MMUs; spiral concentrators; wet high-intensity magnetic separation,gravity spirals; magnetic separation; electrostatic separation; chloride distillation for Hf removal,vacuum arc remelting; electron beam melting; zone refining; crystal bar process,water recycling; radioactive mineral management; progressive rehabilitation; dust suppression,Zr/Hf separation; Kroll sponge production; chlorination infrastructure,https://pubs.usgs.gov/periodicals/mcs2025/mcs2025-zirconium-hafnium.pdf
Europium,17%,9,1.0,175.0,30.0,The U.S. produces mixed rare earth concentrates but does not separate europium domestically. All Eu (a mid-REE) supply comes via foreign separation facilities (chiefly China). The bottleneck is dependence on overseas processing to obtain Eu from mined rare earths.  ,Radiometric surveys; XRF geochemistry; hyperspectral imaging; ionic clay assays,Acid leaching; ion-exchange leaching; beneficiation; calcination,Solvent extraction; chromatography; selective reduction; fractional crystallization,Molten salt electrolysis; vacuum distillation; zone refining; chemical vapor transport,Tailings reprocessing; phosphor recycling; wastewater treatment; phytoremediation,Solvent extraction capacity; separation expertise; low Eu ore grades,
Phosphates,74%,9,"25,000,000.0","35,000,000.0","26,000,000.0","Ample resources, but environmental/permitting constraints limit expansion. https://pubs.usgs.gov/periodicals/mcs2024/mcs2024-phosphate.pdf",hyperspectral remote sensing; geochemical sampling; airborne geophysics; drilling & assaying,open-pit mining; dragline excavation; underground room-and-pillar; hydraulic mining,froth flotation; gravity separation; screening & classification; desliming,wet-process phosphoric acid; impurity removal; fertilizer granulation; thermal process for high-purity,mine reclamation; phosphogypsum management; water treatment; wetland restoration,Environmental permitting,https://pubs.usgs.gov/periodicals/mcs2025/mcs2025-phosphate.pdf
Ytterbium,20%,7,2.5,175.0,35.0,"Ytterbium, a heavy rare earth, is not mined in the U.S. All Yb supply is from Chinese rare earth operations. Thus the U.S. is entirely dependent on China for Yb, making the supply chain for this element extremely vulnerable.  ",Radiometric surveys for Th/U; XRF core scanning; hyperspectral imaging; ionic clay assays,Xenotime flotation; gravity spirals; magnetic separation; acid baking,100+ stage solvent extraction; extractant optimization; continuous ion exchange; molecular recognition,Metallothermic reduction; zone refining; sublimation purification; molten salt electrolysis,Selective REE recovery from tailings; thorium immobilization; acid mine drainage prevention,Heavy REE separation infrastructure; 100+ stage solvent extraction; dedicated Yb refining capacity,
Arsenic,7%,5,100.0,"1,500.0",100.0,"No U.S. arsenic production (100% import reliant). Arsenic is obtained only as a smelter byproduct abroad, and its toxicity has led domestic producers to avoid its recovery, making the supply entirely dependent on imports.  ",XRF geochemical surveys; IP geophysics for sulfides; hyperspectral remote sensing,Flotation concentration; roasting at 500-700°C; alkaline/acid leaching,Baghouse/ESP collection; lime precipitation; iron co-precipitation,Sublimation at 613°C; carbon reduction; zone refining to 6N purity,Phytoremediation with Pteris ferns; iron-based PRBs; stabilization/solidification,Lack of primary ore deposits; absence of commercial byproduct recovery infrastructure,https://pubs.usgs.gov/periodicals/mcs2025/mcs2025-arsenic.pdf
Mica,57%,2,"87,000.0","175,000.0","100,000.0",U.S. produces scrap/flake mica; sheet‑grade for electronics is imported. https://pubs.usgs.gov/periodicals/mcs2024/mcs2024-mica.pdf,airborne geophysics; hyperspectral imaging; geochemical vectoring; machine learning prospectivity mapping,selective mining; controlled blasting; optical sorting; in-pit crushing,advanced flotation; electrostatic separation; air classification; optical sorting,chemical bleaching; surface modification; micronization; classification,water recycling; dry stacking; progressive rehabilitation; dust suppression,inefficient flotation recovery; lack of automated sheet extraction; fine particle losses,https://pubs.usgs.gov/periodicals/mcs2025/mcs2025-mica.pdf
Selenium,183%,2,"2,000.0","1,200.0","2,200.0",U.S. lacks Se recovery from Cu anode slimes; imports meet demand. https://pubs.usgs.gov/periodicals/mcs2024/mcs2024-selenium.pdf,geochemical sampling; electromagnetic surveys; XRF/LIBS field analysis; selenide mineral microscopy,soda-ash roasting; sulfuric acid roasting; direct acid leaching; SO₂ reduction,selective precipitation; ion exchange; solvent extraction; membrane separation,vacuum distillation; zone refining; fractional crystallization; chemical purification,biological reduction; constructed wetlands; adsorption media; chemical precipitation,copper anode slime recovery infrastructure; integrated selenium extraction circuits,https://pubs.usgs.gov/periodicals/mcs2025/mcs2025-selenium.pdf
Bauxite,100%,1,"101,500,000.0","25,000,000.0","25,000,000.0",U.S. has no primary bauxite production; 100% import reliant into 2030. https://pubs.usgs.gov/periodicals/mcs2024/mcs2024-bauxite.pdf,hyperspectral imaging; LiDAR terrain mapping; geochemical sampling; satellite remote sensing,open-pit strip mining; hydraulic excavators; autonomous haulage; minimal blasting,crushing/screening; washing/scrubbing; magnetic separation; ore blending,Bayer process for alumina; Hall-Héroult electrolysis; caustic recovery; energy optimization,red mud neutralization; dry stacking; progressive rehabilitation; water recycling,geological scarcity; Bayer process energy intensity; red mud management; logistics infrastructure,https://pubs.usgs.gov/periodicals/mcs2025/mcs2025-bauxite-alumina.pdf
Feldspar,92%,1,5.5,6.0,5.5,Domestic feldspar covers ~50%; nepheline syenite imports from Canada fill the gap. https://pubs.usgs.gov/periodicals/mcs2024/mcs2024-feldspar.pdf,hyperspectral imaging; geochemical mapping; airborne geophysics; machine learning integration,open-pit quarrying; drilling and blasting; crushing circuits; conveyor systems,froth flotation; magnetic separation; gravity concentration; optical sorting,acid leaching; attrition scrubbing; size classification; chemical treatment,tailings management; water treatment; dust control; mine closure,HF/acid flotation circuits; limited high-grade deposits; aging processing infrastructure,https://pubs.usgs.gov/periodicals/mcs2025/mcs2025-feldspar.pdf
Cadmium,114%,0,"4,300.0","3,500.0","4,000.0",Cadmium is only recovered as a zinc‑smelting byproduct; limited U.S. smelting constrains supply. https://pubs.usgs.gov/periodicals/mcs2024/mcs2024-cadmium.pdf,Geochemical mapping for Zn-Pb deposits; EM/IP geophysics; hyperspectral imaging; tailings resampling,Zinc smelter byproduct recovery; battery scrap acid leaching; pyrometallurgical distillation; ion-exchange; electrowinning,pH-controlled precipitation; ion-exchange resins; electrowinning; flotation; solvent extraction,Vacuum distillation; zone refining; electrolytic purification; chemical precipitation,Phytoremediation with hyperaccumulators; soil immobilization; electrokinetics; adsorption; recycling,Lack of primary resources; inefficient byproduct recovery from zinc refining; limited battery recycling capacity,https://pubs.usgs.gov/periodicals/mcs2025/mcs2025-cadmium.pdf
Strontium,17%,0,"38,000.0","225,000.0","38,000.0",U.S. strontium mining ceased; 100% import reliant (mainly Mexico). https://pubs.usgs.gov/periodicals/mcs2024/mcs2024-strontium.pdf,Geologic mapping of evaporites; gravity/magnetic surveys; geochemical soil sampling; core drilling,Open-pit mining; potential dredging; byproduct recovery from zinc/barite; solution mining R&D,Dense media separation; gravity concentration; flotation; screening/classification,Sodium carbonate roasting; carbothermic reduction; acid dissolution/crystallization; calcination,Mineral pre-concentration; precipitation/ion exchange for wastewater; tailings management; phytoremediation research,Lack of domestic ore deposits; absence of chemical conversion facilities; need for dense-media separation and high-temperature processing,https://pubs.usgs.gov/periodicals/mcs2025/mcs2025-strontium.pdf
Tellurium,44%,0,155.0,400.0,175.0,"Tellurium is only produced as a copper refining byproduct. U.S. output is small (Kennecott Utah began Te recovery ~20 t/year). However, over 90% of Te comes from foreign copper anode slimes. If copper producers do not recover tellurium, or if imports from major producers (e.g. China) falter, tellurium supply is constrained.  ",Copper-gold deposit analysis; anode slime assaying; hyperspectral imaging; tailings reprocessing,Copper anode slime roasting; chlorination circuits; vacuum distillation; hydrometallurgical leaching,Selective precipitation; solvent extraction; ion exchange; fractional crystallization,Zone refining; vacuum distillation; electrolytic refining; chemical recrystallization,CdTe module recycling; tailings reprocessing; wastewater precipitation; emissions scrubbing,Copper refinery Te recovery circuits; anode slime processing; chlorination/roasting infrastructure,https://pubs.usgs.gov/periodicals/mcs2025/mcs2025-tellurium.pdf
Cesium,33%,0,0.0,150.0,50.0,"There are no active cesium mines in the U.S. or anywhere (0 production). Global cesium comes from a few small deposits (e.g., in Canada), and the U.S. must import or draw from stockpiles. The extreme scarcity of pollucite ore is the supply bottleneck.  ",LCT pegmatite mapping; geochemical anomaly detection; indicator mineral chemistry; airborne geophysics,XRT ore sorting; alkaline roasting; acid leaching; pressure leaching,Permanganate precipitation; ion exchange; solvent extraction; fractional crystallization,Recrystallization; zone refining; vacuum distillation; electrolytic reduction,Alkaline neutralization; zeolite adsorption; Prussian blue precipitation; vitrification,Pollucite ore processing; multi-step chemical extraction; selective separation,https://pubs.usgs.gov/periodicals/mcs2025/mcs2025-cesium.pdf
Rubidium,0%,0,0.0,"3,250.0",0.0,"Rubidium has no mine production in the U.S. or elsewhere currently; it is obtained only in trace amounts as a byproduct of cesium or lithium processing. With the U.S. 100% import reliant (mainly on minor Canadian or other sources), rubidium availability is highly limited.  ",LCT pegmatite mapping; ICP-MS geochemical surveys; XRF mineralogy; hyperspectral imaging,Acid leaching; ion-exchange separation; brine crystallization; byproduct recovery,Selective resins; fractional crystallization; membrane separation; chelating agents,Metal reduction; vacuum distillation; zone refining; recrystallization,Water recycling; acid neutralization; tailings management; brine reinjection,Ion-exchange separation; high-purity refining; byproduct recovery circuits,https://pubs.usgs.gov/periodicals/mcs2025/mcs2025-rubidium.pdf
Scandium,286%,0,3.0,35.0,100.0,"There are no primary scandium mines in the U.S.; scandium is only recoverable as a byproduct (e.g., from Ti or REE operations). Domestic output is zero and even projected sources (from tailings) are small. This lack of dedicated production makes the U.S. entirely dependent on imports (from e.g. Australia) for Sc, a significant bottleneck.  ",Radiometric surveys; geochemical mapping; magnetic/gravity surveys; stream sediment sampling,HPAL; pyrometallurgical processing; solvent leaching from wastes; bioleaching,Solvent extraction; ion-exchange resins; selective precipitation; membrane separation,Metallothermic reduction; electrolytic refining; Al-Sc master alloy production; vacuum arc melting,Bioleaching; resin-in-pulp; biosorbents; membrane filtration; acid neutralization,Ultra-low grade extraction; high energy costs; complex separation chemistry,https://pubs.usgs.gov/periodicals/mcs2025/mcs2025-scandium.pdf